document_id,sentence_id,start_token_id,end_token_id,entity_text,predicted_entity_type,ner_score,reliability_score
EXP-1798-01-04-a-i0005,0,0,0,G,LOC,0.5546109080314636,0
EXP-1798-01-04-a-i0005,0,3,3,E,LOC,0.4989553391933441,0
EXP-1798-01-04-a-i0005,1,14,16,Charlotte née Bourgoin,PERS,0.9250069260597228,1
EXP-1798-01-04-a-i0005,1,21,22,Joseph Digiez,PERS,0.9905728101730348,1
EXP-1798-01-04-a-i0005,1,25,26,Maurice Bourgoin,PERS,0.9942262768745422,1
EXP-1798-01-04-a-i0005,1,33,36,sieur Jaques Charles Gicot,PERS,0.9815427660942078,1
EXP-1798-01-04-a-i0005,1,50,53,du 5 décembre 1797,TIME,0.7536299228668213,0
EXP-1798-01-04-a-i0005,1,71,74,Jean-Baptiste Bourgoin,PERS,0.994024097919464,1
EXP-1798-01-04-a-i0005,1,104,104,Landeron,LOC,0.9190057516098022,1
EXP-1798-01-04-a-i0005,3,214,218,Val-de-Travers,LOC,0.9042689204216005,1
EXP-1798-01-04-a-i0005,3,222,231,"sieur Daniel Meuron, maïUe charpentier, _bourgeois de",PERS,0.8758401274681091,1
EXP-1798-01-04-a-i0005,3,232,232,Neuchatel,LOC,0.6541106700897217,0
EXP-1798-01-04-a-i0005,4,249,255,Frédéric-Henri _Lequin de Fleurier,PERS,0.9243311285972596,1
EXP-1798-01-04-a-i0005,4,258,261,Marie-Louise Meuron,PERS,0.9925438165664672,1
EXP-1798-01-04-a-i0005,4,268,269,Jouas Frédéric,PERS,0.9551162719726562,1
EXP-1798-01-04-a-i0005,4,271,271,Auguste,PERS,0.9859727621078492,1
EXP-1798-01-04-a-i0005,4,273,273,Alexandre,PERS,0.9870477318763732,1
EXP-1798-01-04-a-i0005,4,275,278,Louise -Rosalio Lequin,PERS,0.9937424659729004,1
EXP-1798-01-04-a-i0005,4,321,323,Frédéric Henri Lequin,PERS,0.9899792671203612,1
