document_id,sentence_id,start_token_id,end_token_id,split,ner_score,calibrated_score
EXP-1908-01-21-a-i0053,0,0,0,test,0.009383131749927998,0.02085348591208458
EXP-1908-01-21-a-i0053,0,1,2,test,0.12339814752340317,0.9363062381744385
EXP-1908-01-21-a-i0053,0,3,3,test,0.8969339728355408,0.9484057426452637
EXP-1908-01-21-a-i0053,0,4,4,test,4.087851721124025e-06,0.05845145508646965
EXP-1908-01-21-a-i0053,0,5,5,test,0.9855344295501709,0.9953863024711609
EXP-1908-01-21-a-i0053,0,6,8,test,0.0007020863704383373,7.211398769868538e-05
EXP-1908-01-21-a-i0053,0,9,9,test,1.6973350511761964e-06,1.3686380953004118e-05
EXP-1908-01-21-a-i0053,0,10,10,test,9.833139529291657e-07,0.00015209580305963755
EXP-1908-01-21-a-i0053,0,11,13,test,0.9440727829933167,0.22627395391464233
EXP-1908-01-21-a-i0053,0,14,14,test,8.833255378704052e-06,7.21192845958285e-05
EXP-1908-01-21-a-i0053,0,15,15,test,2.7488003979669884e-06,6.0056363508920185e-06
EXP-1908-01-21-a-i0053,0,16,16,test,7.758912033750676e-06,8.365945177501999e-06
EXP-1908-01-21-a-i0053,0,17,17,test,0.0007396289147436619,1.5748537407489493e-05
EXP-1908-01-21-a-i0053,0,18,18,test,0.09351303428411484,1.2714490367216058e-05
EXP-1908-01-21-a-i0053,0,19,19,test,0.00028398921131156385,1.6469155525555834e-05
EXP-1908-01-21-a-i0053,0,20,20,test,2.8282262064749375e-05,0.00032229602220468223
EXP-1908-01-21-a-i0053,0,21,21,test,6.761270014976617e-06,0.0014621308073401451
EXP-1908-01-21-a-i0053,0,22,24,test,0.9672032594680786,0.3138161897659302
EXP-1908-01-21-a-i0053,0,25,25,test,7.150441092562687e-07,1.4129647752270103e-05
EXP-1908-01-21-a-i0053,0,26,27,test,0.2752598524093628,7.662759890081361e-05
EXP-1908-01-21-a-i0053,0,28,28,test,4.907677976007108e-06,3.961096808779985e-05
EXP-1908-01-21-a-i0053,0,29,29,test,1.4050639038032386e-05,0.00013120372022967786
EXP-1908-01-21-a-i0053,0,30,30,test,0.7774028778076172,0.9741292595863342
EXP-1908-01-21-a-i0053,0,31,31,test,6.902708946654457e-07,1.134695480686787e-06
EXP-1908-01-21-a-i0053,0,32,32,test,1.480395167163806e-05,0.0008435645140707493
EXP-1908-01-21-a-i0053,0,33,34,test,0.0016252920031547546,1.643464020162355e-05
EXP-1908-01-21-a-i0053,0,35,35,test,5.055117640040407e-07,2.4055581889115274e-05
EXP-1908-01-21-a-i0053,0,36,36,test,6.527812729473226e-06,0.00025530296261422336
EXP-1908-01-21-a-i0053,0,37,37,test,0.8465105295181274,0.003786942921578884
EXP-1908-01-21-a-i0053,0,39,39,test,3.405928282518289e-06,6.305646707005508e-07
EXP-1908-01-21-a-i0053,0,40,40,test,5.060549028712558e-07,0.0005303459474816918
EXP-1908-01-21-a-i0053,0,41,42,test,3.0920384688215563e-06,3.0043522656342248e-06
EXP-1908-01-21-a-i0053,0,43,43,test,2.3602124201715924e-06,3.6477427784120664e-05
EXP-1908-01-21-a-i0053,0,44,44,test,0.9272778630256653,0.8371469974517822
EXP-1908-01-21-a-i0053,0,45,45,test,4.812442710999676e-08,1.4253039637424081e-08
EXP-1908-01-21-a-i0053,0,46,48,test,2.513137133064447e-06,3.3838787203421816e-05
EXP-1908-01-21-a-i0053,0,49,49,test,1.2726383147310116e-06,0.0019268328323960304
EXP-1908-01-21-a-i0053,0,50,51,test,2.1818493678438244e-06,0.03078310936689377
EXP-1908-01-21-a-i0053,0,52,53,test,0.9868218302726746,0.19495779275894165
EXP-1908-01-21-a-i0053,0,54,54,test,4.356464614829747e-06,1.063523450284265e-05
EXP-1908-01-21-a-i0053,0,55,59,test,0.8544062376022339,3.668625367936329e-06
EXP-1908-01-21-a-i0053,0,60,60,test,7.811969226168003e-06,0.00010331066005164757
EXP-1908-01-21-a-i0053,0,61,61,test,1.799654091882985e-05,0.03164269030094147
EXP-1908-01-21-a-i0053,0,62,63,test,0.38464298844337463,0.9169662594795227
EXP-1908-01-21-a-i0053,1,64,64,test,0.0,0.6268172860145569
EXP-1908-01-21-a-i0053,2,65,65,test,0.0007905146921984851,0.8172113299369812
EXP-1908-01-21-a-i0053,2,66,66,test,1.6452564523206092e-05,0.0009435410611331463
EXP-1908-01-21-a-i0053,2,67,67,test,0.0022052640561014414,0.005508798640221357
EXP-1908-01-21-a-i0053,2,68,68,test,0.9752264022827148,0.7170299887657166
EXP-1908-01-21-a-i0053,2,69,69,test,1.740020479701343e-06,0.6566212177276611
EXP-1908-01-21-a-i0053,2,70,70,test,2.346650217077695e-05,0.006178026087582111
EXP-1908-01-21-a-i0053,2,71,71,test,0.9898248314857483,0.9685463309288025
EXP-1908-01-21-a-i0053,2,73,73,test,1.3413411579676904e-05,4.388567163005064e-07
EXP-1908-01-21-a-i0053,2,74,76,test,0.01616937853395939,0.0008879847009666264
EXP-1908-01-21-a-i0053,2,77,77,test,3.5865511449628684e-07,0.05702795460820198
EXP-1908-01-21-a-i0053,3,78,78,test,1.2082227840437554e-05,2.1742760054621613e-06
EXP-1908-01-21-a-i0053,3,79,79,test,2.7088487968285335e-06,3.7816450912941946e-06
EXP-1908-01-21-a-i0053,3,80,80,test,0.004826381336897612,5.977819910185644e-07
EXP-1908-01-21-a-i0053,3,81,81,test,3.064674558572733e-08,3.281351018813439e-05
EXP-1908-01-21-a-i0053,3,82,84,test,0.9872896075248718,0.991923987865448
EXP-1908-01-21-a-i0053,3,85,85,test,0.0003519777674227953,2.7536436846276047e-06
EXP-1908-01-21-a-i0053,3,86,86,test,2.9256713874532586e-16,0.012777178548276424
EXP-1908-01-21-a-i0053,4,87,87,test,0.0013141499366611242,0.0013951754663139582
EXP-1908-01-21-a-i0053,4,88,88,test,0.7747453451156616,0.7735979557037354
EXP-1908-01-21-a-i0053,4,89,89,test,1.820445504563395e-05,2.1842001984850867e-08
EXP-1908-01-21-a-i0053,4,90,90,test,1.0067678886116482e-05,4.411726450825881e-08
EXP-1908-01-21-a-i0053,4,91,91,test,0.02324259653687477,2.0634466579849686e-07
EXP-1908-01-21-a-i0053,4,92,92,test,4.638168888959626e-07,9.048699922686865e-08
EXP-1908-01-21-a-i0053,4,93,93,test,2.8803286113543436e-05,4.9360423872713e-06
EXP-1908-01-21-a-i0053,4,94,94,test,0.9511421918869019,0.015777036547660828
EXP-1908-01-21-a-i0053,4,96,96,test,6.194596608111169e-06,1.0879030014621094e-06
EXP-1908-01-21-a-i0053,4,97,97,test,0.00033326001721434295,7.066908125352711e-08
EXP-1908-01-21-a-i0053,4,98,98,test,4.349847131379647e-06,7.768387604301097e-07
EXP-1908-01-21-a-i0053,4,99,99,test,7.158520531902468e-08,2.724617047533684e-07
EXP-1908-01-21-a-i0053,4,100,101,test,0.0002594153629615903,1.1947000757572823e-06
EXP-1908-01-21-a-i0053,4,102,102,test,0.006528895348310471,2.6264251218321988e-08
EXP-1908-01-21-a-i0053,4,103,103,test,1.4139768609311432e-06,1.3163963785700616e-06
EXP-1908-01-21-a-i0053,4,104,104,test,1.7256236333196284e-06,2.1415781148448332e-08
EXP-1908-01-21-a-i0053,4,105,105,test,0.0036309477873146534,8.379095561394934e-06
EXP-1908-01-21-a-i0053,4,106,106,test,1.411381072102813e-05,2.0011757442262024e-06
EXP-1908-01-21-a-i0053,4,107,109,test,0.9951110482215881,0.9861599802970886
EXP-1908-01-21-a-i0053,4,110,110,test,1.1107542377430946e-05,1.8705453612710699e-06
EXP-1908-01-21-a-i0053,5,111,112,test,9.366797166876495e-05,2.9396446734608617e-06
EXP-1908-01-21-a-i0053,5,113,113,test,8.101395998494354e-09,0.0015708856517449021
EXP-1908-01-21-a-i0053,5,114,114,test,0.0002452761691529304,6.0787471738876775e-05
EXP-1908-01-21-a-i0053,5,115,116,test,1.0927840321528492e-06,2.527921969885938e-05
EXP-1908-01-21-a-i0053,5,117,117,test,2.3966485969140194e-06,0.00047288593486882746
EXP-1908-01-21-a-i0053,5,118,118,test,8.068735724009457e-07,0.00011637343413894996
EXP-1908-01-21-a-i0053,5,119,120,test,0.44589224457740784,0.001368330791592598
EXP-1908-01-21-a-i0053,5,121,121,test,6.898937954247231e-07,0.00020870350999757648
EXP-1908-01-21-a-i0053,5,122,122,test,0.00015618922770954669,1.6921188944252208e-05
EXP-1908-01-21-a-i0053,5,123,123,test,5.451252036436927e-07,5.3372856200439855e-05
EXP-1908-01-21-a-i0053,5,124,124,test,0.9168024063110352,0.8738067150115967
EXP-1908-01-21-a-i0053,5,125,125,test,2.2961274808580567e-12,3.036330554095912e-06
EXP-1908-01-21-a-i0053,6,126,126,test,1.1111187632195652e-05,1.8552136680227704e-05
EXP-1908-01-21-a-i0053,6,127,127,test,5.588198632722197e-07,2.605149234113924e-07
EXP-1908-01-21-a-i0053,6,128,128,test,1.3586971363110933e-05,0.007852091453969479
EXP-1908-01-21-a-i0053,6,129,129,test,0.9951297044754028,0.9951400756835938
EXP-1908-01-21-a-i0053,6,130,130,test,1.640053994833579e-07,2.9318944143597037e-05
EXP-1908-01-21-a-i0053,6,131,131,test,9.453191864849941e-07,6.229584869288374e-06
EXP-1908-01-21-a-i0053,6,132,132,test,3.571859997464344e-05,3.387976175872609e-05
EXP-1908-01-21-a-i0053,6,133,133,test,9.1901415544271e-07,4.637633537640795e-05
EXP-1908-01-21-a-i0053,6,134,134,test,1.7477837900514714e-05,0.002409465378150344
EXP-1908-01-21-a-i0053,6,135,137,test,0.008129183202981949,0.2241884022951126
EXP-1908-01-21-a-i0053,6,138,138,test,8.72275336405437e-07,1.352672711618652e-06
EXP-1908-01-21-a-i0053,6,139,139,test,2.8566621494974243e-06,0.00036698399344459176
EXP-1908-01-21-a-i0053,6,140,140,test,3.00647116091568e-07,0.0008379019564017653
EXP-1908-01-21-a-i0053,6,141,142,test,0.9588003158569336,0.8997607231140137
EXP-1908-01-21-a-i0053,6,143,143,test,4.552958543513341e-08,5.828779194416711e-06
EXP-1908-01-21-a-i0053,7,144,144,test,7.205356087069958e-05,5.8861758589046076e-05
EXP-1908-01-21-a-i0053,7,145,145,test,1.4387457667908166e-05,0.004782422445714474
EXP-1908-01-21-a-i0053,7,146,147,test,0.9769769310951233,0.1871016025543213
EXP-1908-01-21-a-i0053,7,148,149,test,3.3264022931689397e-05,0.0010696199024096131
EXP-1908-01-21-a-i0053,7,151,153,test,0.9811708927154541,0.9985678195953369
EXP-1908-01-21-a-i0053,7,154,156,test,0.9870766997337341,0.99573814868927
EXP-1908-01-21-a-i0053,7,157,157,test,2.2438211999542546e-06,2.1584364731097594e-05
EXP-1908-01-21-a-i0053,7,158,160,test,0.0011327076936140656,0.00015937807620503008
EXP-1908-01-21-a-i0053,7,161,162,test,2.0878665054624435e-06,6.817121175117791e-05
EXP-1908-01-21-a-i0053,7,163,163,test,1.138240691034298e-06,0.00012211821740493178
EXP-1908-01-21-a-i0053,7,164,164,test,9.914894008034025e-07,0.0009015295654535294
EXP-1908-01-21-a-i0053,7,165,165,test,1.0627256415318698e-05,7.307660325750476e-06
EXP-1908-01-21-a-i0053,7,166,168,test,0.12229987233877182,6.955791468499228e-05
EXP-1908-01-21-a-i0053,7,169,169,test,0.00013191298057790846,9.724179790282506e-07
EXP-1908-01-21-a-i0053,7,170,172,test,0.005012838169932365,0.0017622254090383649
EXP-1908-01-21-a-i0053,7,173,173,test,1.1897283911821432e-05,6.98704639034986e-07
EXP-1908-01-21-a-i0053,7,174,174,test,1.706096009002067e-05,2.6011028239736333e-05
EXP-1908-01-21-a-i0053,7,175,175,test,7.790890208525525e-07,4.9584141379455104e-05
EXP-1908-01-21-a-i0053,7,176,177,test,0.001470117480494082,0.00014444637054111809
EXP-1908-01-21-a-i0053,7,179,179,test,2.0042507458128966e-06,1.5888187476775784e-07
EXP-1908-01-21-a-i0053,7,180,184,test,0.0009212435688823462,0.024937493726611137
EXP-1908-01-21-a-i0053,7,185,185,test,2.1348758309613913e-05,2.5256880689994432e-05
EXP-1908-01-21-a-i0053,7,186,192,test,0.0027698324993252754,0.00037273927591741085
EXP-1908-01-21-a-i0053,7,193,194,test,0.0002225319476565346,0.0007300197030417621
EXP-1908-01-21-a-i0053,7,195,195,test,7.107800774974748e-05,0.0003133728459943086
EXP-1908-01-21-a-i0053,7,196,196,test,9.385582234244794e-05,1.631530176382512e-05
EXP-1908-01-21-a-i0053,7,197,197,test,0.0005495661171153188,0.00010470090637682006
EXP-1908-01-21-a-i0053,7,198,198,test,0.06576990336179733,0.011554357595741749
EXP-1908-01-21-a-i0053,7,199,199,test,0.00023022711684461683,0.003550880355760455
EXP-1908-01-21-a-i0053,7,200,200,test,0.00029198851552791893,0.0016082391375675797
EXP-1908-01-21-a-i0053,8,201,201,test,4.191500924122238e-09,3.2470903533976525e-05
EXP-1908-01-21-a-i0053,8,202,203,test,0.04502301290631294,3.868293333653128e-06
EXP-1908-01-21-a-i0053,8,204,204,test,7.400393542411621e-08,2.877072438423056e-05
EXP-1908-01-21-a-i0053,8,205,205,test,1.743247907137757e-11,0.00012721917300950736
EXP-1908-01-21-a-i0053,9,206,208,test,0.00016700210107956082,0.062285978347063065
EXP-1908-01-21-a-i0053,9,210,210,test,1.1263151691309758e-06,2.9923455713287694e-06
EXP-1908-01-21-a-i0053,9,211,211,test,3.797595854848623e-05,0.0003827459004241973
EXP-1908-01-21-a-i0053,9,212,214,test,0.0013533590827137232,0.00010555811604717746
EXP-1908-01-21-a-i0053,9,215,215,test,1.3672877685166895e-05,2.959638550237287e-05
EXP-1908-01-21-a-i0053,9,216,217,test,0.04661106690764427,0.0001593484339537099
EXP-1908-01-21-a-i0053,9,218,218,test,3.2395519156125374e-07,1.0461957344887196e-07
EXP-1908-01-21-a-i0053,9,219,219,test,1.2498552450779243e-06,7.138183946153731e-07
EXP-1908-01-21-a-i0053,9,220,220,test,0.0005268648383207619,3.6985151382396e-05
EXP-1908-01-21-a-i0053,9,221,221,test,1.0875721727643395e-06,1.1796370927186217e-05
EXP-1908-01-21-a-i0053,9,222,222,test,7.290326902875677e-05,0.00024904939346015453
EXP-1908-01-21-a-i0053,9,223,223,test,0.033716943114995956,0.004241855349391699
EXP-1908-01-21-a-i0053,9,224,225,test,0.7319616079330444,0.9952137470245361
EXP-1908-01-21-a-i0053,9,226,226,test,3.265747139380437e-08,4.711142901214771e-05
EXP-1908-01-21-a-i0053,9,227,227,test,0.00014081310655456036,6.369923085003393e-06
EXP-1908-01-21-a-i0053,9,228,228,test,3.141182605759241e-05,2.1041689251433127e-05
EXP-1908-01-21-a-i0053,9,229,229,test,1.1754390243368107e-06,0.0005886601284146309
EXP-1908-01-21-a-i0053,9,230,231,test,3.9558759453939274e-05,0.020993703976273537
EXP-1908-01-21-a-i0053,9,232,232,test,2.26582346840587e-06,0.016883311793208122
EXP-1908-01-21-a-i0053,9,233,233,test,0.8335838913917542,0.9354174137115479
EXP-1908-01-21-a-i0053,9,235,235,test,1.1783458830905147e-06,8.276143489638343e-05
EXP-1908-01-21-a-i0053,9,237,237,test,0.7274578809738159,0.00945946853607893
EXP-1908-01-21-a-i0053,9,238,240,test,1.721325588732725e-07,2.5275389248236024e-07
EXP-1908-01-21-a-i0053,9,241,241,test,6.579224191227695e-06,3.6874298530165106e-06
EXP-1908-01-21-a-i0053,9,242,242,test,1.1997102774330415e-05,0.0008186646155081689
EXP-1908-01-21-a-i0053,9,243,243,test,0.0002565202594269067,0.002249734476208687
EXP-1908-01-21-a-i0053,9,244,245,test,0.00031295904773287475,6.604398095078068e-07
EXP-1908-01-21-a-i0053,9,246,246,test,3.6656761182030095e-08,2.286259586981032e-06
EXP-1908-01-21-a-i0053,9,248,248,test,3.8244806432885525e-08,0.00011096338857896626
EXP-1908-01-21-a-i0053,9,249,249,test,0.00041307444917038083,0.006139467936009169
EXP-1908-01-21-a-i0053,9,251,251,test,0.002056728582829237,0.0007764757610857487
EXP-1908-01-21-a-i0053,9,253,253,test,4.803859354751694e-08,7.429159154526133e-08
EXP-1908-01-21-a-i0053,9,254,254,test,2.3128936845751014e-06,3.169209250586391e-08
EXP-1908-01-21-a-i0053,9,255,256,test,0.0027840512339025736,8.915039870771579e-07
EXP-1908-01-21-a-i0053,9,257,257,test,2.4384739560900925e-08,8.050627002376132e-06
EXP-1908-01-21-a-i0053,10,258,260,test,0.002208990976214409,0.33193689584732056
EXP-1908-01-21-a-i0053,10,261,263,test,0.9041547179222107,0.9676290154457092
EXP-1908-01-21-a-i0053,10,264,264,test,2.7807334845419973e-05,2.10236175917089e-05
EXP-1908-01-21-a-i0053,10,265,265,test,1.0014293820859166e-06,1.931885890371632e-06
