bin,count,true,raw,delta_raw,camembert_mlp,delta_camembert_mlp,camembert_mlp_without_ner_score,delta_camembert_mlp_without_ner_score,camembert_mlp_without_type,delta_camembert_mlp_without_type,camembert_mlp_without_dict_flag,delta_camembert_mlp_without_dict_flag,camembert_mlp_without_target_flag,delta_camembert_mlp_without_target_flag
0.0-0.1,17309,0.007683863885839737,0.002918582441676321,-0.004765281444163416,0.008744552423502274,0.0010606885376625375,0.00906297602561056,0.0013791121397708226,0.01235103964230035,0.004667175756460613,0.010763216608894316,0.0030793527230545794,0.01169576450242637,0.004011900616586634
0.1-0.2,362,0.03038674033149171,0.14376588392158896,0.11337914359009724,0.033805101201587646,0.003418360870095935,0.04552371346110994,0.01513697312961823,0.05283868035110696,0.02245194001961525,0.05172046657671669,0.021333726245224977,0.04576870840954475,0.015381968078053039
0.2-0.3,244,0.020491803278688523,0.24553712579559106,0.22504532251690254,0.040390796992341896,0.019898993713653373,0.04959956627154693,0.029107762992858405,0.05201184928459233,0.0315200460059038,0.050733157076634984,0.03024135379794646,0.050855409464793666,0.030363606186105143
0.3-0.4,198,0.050505050505050504,0.3518885330419348,0.3013834825368843,0.03882771516593652,-0.011677335339113984,0.05359803332923877,0.0030929828241882673,0.06498369618958774,0.014478645684537238,0.06388089943158251,0.013375848926532007,0.06067125351808601,0.010166203013035509
0.4-0.5,198,0.08080808080808081,0.45076828532748753,0.3699602045194067,0.08618787016365387,0.005379789355573053,0.11011387319616343,0.02930579238808262,0.11786764212711937,0.03705956131903855,0.10984867662181029,0.029040595813729475,0.1070640713028447,0.02625599049476389
0.5-0.6,211,0.10900473933649289,0.5486380237538667,0.4396332844173738,0.10354053914979018,-0.005464200186702711,0.12114924698549831,0.012144507649005418,0.1450047660581245,0.03600002672163162,0.13003984231772572,0.02103510298123283,0.13085084803719063,0.02184610870069774
0.6-0.7,220,0.21818181818181817,0.6512635659087788,0.4330817477269606,0.202619313452069,-0.015562504729749183,0.2352998087803437,0.017117990598525534,0.24391935016233218,0.02573753198051401,0.23760716159002415,0.01942534340820598,0.2397559744934669,0.021574156311648718
0.7-0.8,249,0.26907630522088355,0.7527304057136597,0.48365410049277613,0.2679669314775879,-0.0011093737432956718,0.2920715244687113,0.02299521924782777,0.30960590108360975,0.0405295958627262,0.3166621228317286,0.04758581761084507,0.3168726949867512,0.04779638976586764
0.8-0.9,340,0.28823529411764703,0.8516879805747201,0.563452686457073,0.3126696293641621,0.02443433524651506,0.3352532945941527,0.04701800047650567,0.38626997506036975,0.09803468094272272,0.3646598779928379,0.07642458387519085,0.3521234084121251,0.06388811429447805
0.9-1.0,1249,0.622898318654924,0.9715659716207566,0.3486676529658327,0.6284129202783322,0.005514601623408222,0.6176409839752307,-0.0052573346796932485,0.6846612159709969,0.061762897316072984,0.6622171184299331,0.03931879977500918,0.6567675454695088,0.03386922681458482
