bin,count,true,raw,delta_raw,camembert_mlp,delta_camembert_mlp,mbert,delta_mbert,mdeberta_v3,delta_mdeberta_v3,multilingual_e5,delta_multilingual_e5,xlm_roberta,delta_xlm_roberta
0.0-0.1,17309,0.007683863885839737,0.002918582441676321,-0.004765281444163416,0.008744552423502274,0.0010606885376625375,0.00990724423961573,0.0022233803537759942,0.008611552666804908,0.0009276887809651713,0.007378035194097433,-0.00030582869174230337,0.009047035986331104,0.0013631721004913671
0.1-0.2,362,0.03038674033149171,0.14376588392158896,0.11337914359009724,0.033805101201587646,0.003418360870095935,0.029616814546714165,-0.0007699257847775462,0.04000342721670334,0.009616686885211626,0.031020211798419968,0.0006334714669282565,0.03758973235218,0.00720299202068829
0.2-0.3,244,0.020491803278688523,0.24553712579559106,0.22504532251690254,0.040390796992341896,0.019898993713653373,0.03449642323612305,0.014004619957434527,0.042446113313259856,0.021954310034571333,0.038364279186721785,0.017872475908033262,0.04374831547084933,0.023256512192160805
0.3-0.4,198,0.050505050505050504,0.3518885330419348,0.3013834825368843,0.03882771516593652,-0.011677335339113984,0.04267117136180285,-0.007833879143247652,0.047493508413493764,-0.0030115420915567404,0.04619756410088433,-0.004307486404166172,0.040982730075913534,-0.00952232042913697
0.4-0.5,198,0.08080808080808081,0.45076828532748753,0.3699602045194067,0.08618787016365387,0.005379789355573053,0.06270921157119107,-0.018098869236889747,0.08296956713577668,0.0021614863276958607,0.07245486106113812,-0.008353219746942697,0.0769649516496997,-0.0038431291583811145
0.5-0.6,211,0.10900473933649289,0.5486380237538667,0.4396332844173738,0.10354053914979018,-0.005464200186702711,0.08872656349193925,-0.020278175844553645,0.10367424314963566,-0.005330496186857228,0.09702515367987456,-0.01197958565661833,0.10519798601080492,-0.0038067533256879726
0.6-0.7,220,0.21818181818181817,0.6512635659087788,0.4330817477269606,0.202619313452069,-0.015562504729749183,0.18352143140982044,-0.03466038677199773,0.20738844645942733,-0.010793371722390838,0.17824316622233646,-0.03993865195948171,0.19672937412927508,-0.021452444052543096
0.7-0.8,249,0.26907630522088355,0.7527304057136597,0.48365410049277613,0.2679669314775879,-0.0011093737432956718,0.25020183216968395,-0.018874473051199603,0.26385898310301187,-0.005217322117871681,0.25077337937401273,-0.01830292584687082,0.2801977428817503,0.011121437660866762
0.8-0.9,340,0.28823529411764703,0.8516879805747201,0.563452686457073,0.3126696293641621,0.02443433524651506,0.29782488072103097,0.009589586603383937,0.3037298136712936,0.015494519553646557,0.30052454860390965,0.012289254486262613,0.3482131185650169,0.059977824447369876
0.9-1.0,1249,0.622898318654924,0.9715659716207566,0.3486676529658327,0.6284129202783322,0.005514601623408222,0.6035381302073639,-0.019360188447560045,0.6288567036834161,0.005958385028492108,0.6257527832628648,0.00285446460794081,0.6735201427771323,0.05062182412220839
