bin,count,true,raw,delta_raw,platt_scaling,delta_platt_scaling,logistic,delta_logistic,mlp,delta_mlp
0.0-0.1,17309,0.007683863885839737,0.002918582441676321,-0.004765281444163416,0.009536597594632082,0.0018527337087923456,0.007644964171897864,-3.889971394187286e-05,0.008096387320309609,0.0004125234344698721
0.1-0.2,362,0.03038674033149171,0.14376588392158896,0.11337914359009724,0.019501097061643432,-0.01088564326984828,0.017086955890149056,-0.013299784441342655,0.023184813605082875,-0.007201926726408837
0.2-0.3,244,0.020491803278688523,0.24553712579559106,0.22504532251690254,0.032287793325845124,0.0117959900471566,0.029304829911154597,0.008813026632466074,0.03756192176561475,0.017070118486926227
0.3-0.4,198,0.050505050505050504,0.3518885330419348,0.3013834825368843,0.05419216319383451,0.0036871126887840083,0.05021065239914385,-0.0002943981059066528,0.061225835196343434,0.01072078469129293
0.4-0.5,198,0.08080808080808081,0.45076828532748753,0.3699602045194067,0.08645284963348128,0.005644768825400465,0.0953747708692468,0.014566690061165982,0.104587295779798,0.023779214971717186
0.5-0.6,211,0.10900473933649289,0.5486380237538667,0.4396332844173738,0.13479548824665122,0.025790748910158326,0.14869735776288626,0.039692618426393364,0.15963442141184836,0.05062968207535547
0.6-0.7,220,0.21818181818181817,0.6512635659087788,0.4330817477269606,0.20770468700145825,-0.010477131180359922,0.20804396161612101,-0.010137856565697156,0.2202735833481818,0.0020917651663636405
0.7-0.8,249,0.26907630522088355,0.7527304057136597,0.48365410049277613,0.30462975416793026,0.035553448947046706,0.3201135811651171,0.05103727594423357,0.32433142146184735,0.0552551162409638
0.8-0.9,340,0.28823529411764703,0.8516879805747201,0.563452686457073,0.4198369933221853,0.1316016992045383,0.4078672135907323,0.11963191947308527,0.4001683807264706,0.11193308660882356
0.9-1.0,1249,0.622898318654924,0.9715659716207566,0.3486676529658327,0.5704309263247727,-0.0524673923301513,0.5914685689398409,-0.031429749715083055,0.5886812537301842,-0.03421706492473975
