bin,count,true,raw,delta_raw,platt_scaling,delta_platt_scaling,logistic,delta_logistic,mlp,delta_mlp,camembert_mlp,delta_camembert_mlp
0.0-0.1,17309,0.007683863885839737,0.002918582441676321,-0.004765281444163416,0.009337095180710036,0.001653231294870299,0.007187003844905939,-0.000496860040933798,0.007532979325375153,-0.00015088456046458403,0.008744552423502274,0.0010606885376625375
0.1-0.2,362,0.03038674033149171,0.14376588392158896,0.11337914359009724,0.019070480557214897,-0.011316259774276815,0.01577648398114987,-0.014610256350341841,0.020641375145607734,-0.009745365185883977,0.033805101201587646,0.003418360870095935
0.2-0.3,244,0.020491803278688523,0.24553712579559106,0.22504532251690254,0.031553247437737894,0.011061444159049371,0.028133733511759462,0.007641930233070939,0.03564596919381147,0.01515416591512295,0.040390796992341896,0.019898993713653373
0.3-0.4,198,0.050505050505050504,0.3518885330419348,0.3013834825368843,0.052934174928160896,0.0024291244231103917,0.04835031060122923,-0.0021547399038212775,0.05745746739037373,0.006952416885323227,0.03882771516593652,-0.011677335339113984
0.4-0.5,198,0.08080808080808081,0.45076828532748753,0.3699602045194067,0.08443824577015425,0.00363016496207344,0.09395398826663921,0.013145907458558398,0.10338908879797981,0.022581007989898996,0.08618787016365387,0.005379789355573053
0.5-0.6,211,0.10900473933649289,0.5486380237538667,0.4396332844173738,0.13170913256798095,0.022704393231488054,0.1450311928707432,0.03602645353425031,0.15362242973459717,0.04461769039810427,0.10354053914979018,-0.005464200186702711
0.6-0.7,220,0.21818181818181817,0.6512635659087788,0.4330817477269606,0.20318186283474188,-0.014999955347076294,0.20403815653025695,-0.014143661651561223,0.21292575288045454,-0.005256065301363633,0.202619313452069,-0.015562504729749183
0.7-0.8,249,0.26907630522088355,0.7527304057136597,0.48365410049277613,0.29858529718890475,0.029508991968021203,0.31677244444686575,0.047696139225982204,0.32046305732128516,0.05138675210040161,0.2679669314775879,-0.0011093737432956718
0.8-0.9,340,0.28823529411764703,0.8516879805747201,0.563452686457073,0.41264065022475555,0.12440535610710851,0.39956936194298,0.11133406782533295,0.39200336247647055,0.10376806835882352,0.3126696293641621,0.02443433524651506
0.9-1.0,1249,0.622898318654924,0.9715659716207566,0.3486676529658327,0.562865409005544,-0.060032909649379906,0.5821456548874284,-0.040752663767495534,0.5780731444379503,-0.04482517421697363,0.6284129202783322,0.005514601623408222
