bin,count,true,raw,delta_raw,camembert_mlp,delta_camembert_mlp,camembert_experts,delta_camembert_experts
0.0-0.1,17309,0.007683863885839737,0.002918582441676321,-0.004765281444163416,0.008744552423502274,0.0010606885376625375,0.008975602418263983,0.0012917385324242468
0.1-0.2,362,0.03038674033149171,0.14376588392158896,0.11337914359009724,0.033805101201587646,0.003418360870095935,0.044876841250599334,0.014490100919107622
0.2-0.3,244,0.020491803278688523,0.24553712579559106,0.22504532251690254,0.040390796992341896,0.019898993713653373,0.046704340160159015,0.026212536881470492
0.3-0.4,198,0.050505050505050504,0.3518885330419348,0.3013834825368843,0.03882771516593652,-0.011677335339113984,0.060129864437194765,0.00962481393214426
0.4-0.5,198,0.08080808080808081,0.45076828532748753,0.3699602045194067,0.08618787016365387,0.005379789355573053,0.10512640116456273,0.024318320356481918
0.5-0.6,211,0.10900473933649289,0.5486380237538667,0.4396332844173738,0.10354053914979018,-0.005464200186702711,0.12684076601826005,0.01783602668176716
0.6-0.7,220,0.21818181818181817,0.6512635659087788,0.4330817477269606,0.202619313452069,-0.015562504729749183,0.24451618247165502,0.026334364289836848
0.7-0.8,249,0.26907630522088355,0.7527304057136597,0.48365410049277613,0.2679669314775879,-0.0011093737432956718,0.3202778903442822,0.051201585123398674
0.8-0.9,340,0.28823529411764703,0.8516879805747201,0.563452686457073,0.3126696293641621,0.02443433524651506,0.36861186353803493,0.0803765694203879
0.9-1.0,1249,0.622898318654924,0.9715659716207566,0.3486676529658327,0.6284129202783322,0.005514601623408222,0.6612117977135916,0.038313479058667665
